,timestamp,location,revenue,freq
319,1/8/2014,Abila Airport,5492.299999999999,2.0
360,1/8/2014,Abila Zacharo,36.85,1.0
272,1/8/2014,Albert's Fine Clothing,136.01,1.0
273,1/8/2014,Bean There Done That,12.07,1.0
355,1/8/2014,Brew've Been Served,12.3,1.0
288,1/8/2014,Brewed Awakenings,12.32,1.0
331,1/8/2014,Carlyle Chemical Inc.,4983.52,1.0
289,1/8/2014,Chostus Hotel,107.51,1.0
345,1/8/2014,Coffee Cameleon,12.26,1.0
244,1/8/2014,Coffee Shack,13.13,1.0
285,1/8/2014,Frank's Fuel,65.34,1.0
264,1/8/2014,Frydos Autosupply n' More,268.89,1.0
257,1/8/2014,Gelatogalore,22.27,1.0
299,1/8/2014,General Grocer,265.84,1.0
300,1/8/2014,Guy's Gyros,15.86,1.0
309,1/8/2014,Hallowed Grounds,3.4,1.0
271,1/8/2014,Hippokampos,10.52,1.0
350,1/8/2014,Jack's Magical Beans,12.37,1.0
346,1/8/2014,Kalami Kafenion,24.08,1.0
302,1/8/2014,Katerina’s Café,27.87,1.0
332,1/8/2014,Kronos Pipe and Irrigation,3615.61,1.0
333,1/8/2014,Maximum Iron and Steel,3136.01,1.0
328,1/8/2014,Nationwide Refinery,4367.43,1.0
268,1/8/2014,Ouzeri Elian,10.81,1.0
325,1/8/2014,Stewart and Sons Fabrication,1738.26,1.0
