,location,date,revenue,freq
1177,Abila Airport,1/16/2014,8732.810000000001,3.0
1161,Nationwide Refinery,1/16/2014,4742.67,1.0
1162,Stewart and Sons Fabrication,1/16/2014,4543.31,1.0
1220,Abila Scrapyard,1/16/2014,1897.05,1.0
1222,Carlyle Chemical Inc.,1/16/2014,1814.24,1.0
1128,Kronos Mart,1/16/2014,298.83,1.0
1231,Albert's Fine Clothing,1/16/2014,283.38,1.0
1254,Roberts and Sons,1/16/2014,240.66,1.0
1251,Shoppers' Delight,1/16/2014,160.69,1.0
1219,Octavio's Office Supplies,1/16/2014,131.01,1.0
1255,Frydos Autosupply n' More,1/16/2014,130.01,1.0
1249,Hippokampos,1/16/2014,114.0,1.0
1235,Guy's Gyros,1/16/2014,111.31,1.0
1171,Bean There Done That,1/16/2014,98.34,1.0
1223,Katerina’s Café,1/16/2014,93.68,1.0
1207,Kalami Kafenion,1/16/2014,91.38,1.0
1152,Brew've Been Served,1/16/2014,90.33,1.0
1148,Hallowed Grounds,1/16/2014,72.61,1.0
1197,Abila Zacharo,1/16/2014,69.27,1.0
1132,Coffee Cameleon,1/16/2014,67.19,1.0
1209,Gelatogalore,1/16/2014,32.4,1.0
1258,Ouzeri Elian,1/16/2014,29.99,1.0
1166,Brewed Awakenings,1/16/2014,17.91,1.0
1173,Jack's Magical Beans,1/16/2014,14.86,1.0
1163,Coffee Shack,1/16/2014,10.48,1.0
