,timestamp,location,revenue,freq
688,1/12/2014,Abila Zacharo,11.2,1.0
684,1/12/2014,Ahaggo Museum,120.2,1.0
674,1/12/2014,Albert's Fine Clothing,195.81,1.0
689,1/12/2014,Desafio Golf Course,129.33,1.0
646,1/12/2014,Frydos Autosupply n' More,161.96,1.0
678,1/12/2014,Gelatogalore,36.2,1.0
640,1/12/2014,General Grocer,159.3,1.0
685,1/12/2014,Guy's Gyros,34.74,1.0
686,1/12/2014,Hippokampos,52.21,1.0
656,1/12/2014,Kalami Kafenion,26.04,1.0
645,1/12/2014,Katerina’s Café,40.25,1.0
671,1/12/2014,Kronos Mart,159.06,1.0
687,1/12/2014,Ouzeri Elian,117.22,1.0
672,1/12/2014,Shoppers' Delight,86.22,1.0
