,location,date,revenue,freq
1289,Stewart and Sons Fabrication,1/17/2014,1753.17,1.0
1356,Shoppers' Delight,1/17/2014,289.33,1.0
1279,Kronos Mart,1/17/2014,286.24,1.0
1362,Frydos Autosupply n' More,1/17/2014,260.08,1.0
1336,Abila Zacharo,1/17/2014,230.85999999999999,5.0
1329,Chostus Hotel,1/17/2014,159.62,1.0
1302,Kalami Kafenion,1/17/2014,140.78,1.0
1326,Hippokampos,1/17/2014,108.35,1.0
1361,General Grocer,1/17/2014,98.03,1.0
1295,Brewed Awakenings,1/17/2014,88.69,1.0
1358,Katerina’s Café,1/17/2014,72.13,1.0
1351,Ouzeri Elian,1/17/2014,70.21,1.0
1368,Guy's Gyros,1/17/2014,55.4,1.0
1259,Brew've Been Served,1/17/2014,52.56,1.0
1343,Albert's Fine Clothing,1/17/2014,39.41,1.0
1275,Hallowed Grounds,1/17/2014,38.22,1.0
1317,Gelatogalore,1/17/2014,37.3,1.0
1291,Bean There Done That,1/17/2014,19.67,1.0
1290,Coffee Shack,1/17/2014,19.16,1.0
1300,Jack's Magical Beans,1/17/2014,19.11,1.0
1283,Coffee Cameleon,1/17/2014,14.99,1.0
