,location,date,revenue,freq
568,Stewart and Sons Fabrication,1/10/2014,4195.49,1.0
541,Abila Airport,1/10/2014,4039.36,1.0
554,Nationwide Refinery,1/10/2014,2302.73,1.0
626,Shoppers' Delight,1/10/2014,279.53,1.0
631,Roberts and Sons,1/10/2014,241.2,1.0
625,Frydos Autosupply n' More,1/10/2014,237.08,1.0
551,Carlyle Chemical Inc.,1/10/2014,227.81,1.0
634,General Grocer,1/10/2014,227.28,1.0
552,Kronos Mart,1/10/2014,203.91,1.0
570,Chostus Hotel,1/10/2014,197.41,1.0
609,Octavio's Office Supplies,1/10/2014,139.72,1.0
624,Albert's Fine Clothing,1/10/2014,126.13,1.0
576,Abila Zacharo,1/10/2014,113.33,1.0
581,Kalami Kafenion,1/10/2014,101.5,1.0
539,Brew've Been Served,1/10/2014,97.25,1.0
635,Hippokampos,1/10/2014,79.97,1.0
605,Katerina’s Café,1/10/2014,77.62,1.0
587,Guy's Gyros,1/10/2014,38.15,1.0
580,Ouzeri Elian,1/10/2014,35.24,1.0
607,Gelatogalore,1/10/2014,32.19,1.0
563,Bean There Done That,1/10/2014,18.67,1.0
528,Hallowed Grounds,1/10/2014,17.63,1.0
565,Jack's Magical Beans,1/10/2014,16.29,1.0
562,Brewed Awakenings,1/10/2014,13.9,1.0
547,Coffee Cameleon,1/10/2014,13.25,1.0
