,timestamp,location,revenue,freq
196,1/7/2014,Abila Airport,9018.509999999998,4.0
227,1/7/2014,Abila Scrapyard,2149.28,1.0
132,1/7/2014,Abila Zacharo,32.4,1.0
186,1/7/2014,Albert's Fine Clothing,228.36,1.0
167,1/7/2014,Bean There Done That,13.89,1.0
218,1/7/2014,Brew've Been Served,14.49,1.0
158,1/7/2014,Brewed Awakenings,4.84,1.0
200,1/7/2014,Carlyle Chemical Inc.,3827.2,1.0
155,1/7/2014,Coffee Cameleon,7.66,1.0
121,1/7/2014,Coffee Shack,16.63,1.0
225,1/7/2014,Frydos Autosupply n' More,272.73,1.0
219,1/7/2014,Gelatogalore,17.21,1.0
230,1/7/2014,Guy's Gyros,29.57,1.0
215,1/7/2014,Hallowed Grounds,9.61,1.0
239,1/7/2014,Hippokampos,37.88,1.0
212,1/7/2014,Jack's Magical Beans,18.77,1.0
213,1/7/2014,Kalami Kafenion,45.05,1.0
223,1/7/2014,Katerina’s Café,19.53,1.0
205,1/7/2014,Kronos Pipe and Irrigation,3920.82,1.0
206,1/7/2014,Maximum Iron and Steel,3207.31,1.0
202,1/7/2014,Nationwide Refinery,1562.66,1.0
209,1/7/2014,Ouzeri Elian,29.1,1.0
191,1/7/2014,Stewart and Sons Fabrication,1200.9,1.0
