,timestamp,location,revenue,freq
1296,1/18/2014,Abila Zacharo,241.51,5.0
1333,1/18/2014,Ahaggo Museum,55.55,1.0
1325,1/18/2014,Albert's Fine Clothing,35.66,1.0
1340,1/18/2014,Chostus Hotel,600.0,1.0
1300,1/18/2014,Frank's Fuel,52.66,1.0
1347,1/18/2014,Frydos Autosupply n' More,120.67,1.0
1286,1/18/2014,Gelatogalore,24.38,1.0
1338,1/18/2014,General Grocer,108.49,1.0
1322,1/18/2014,Guy's Gyros,31.48,1.0
1312,1/18/2014,Hippokampos,20.11,1.0
1339,1/18/2014,Kalami Kafenion,53.36,1.0
1346,1/18/2014,Katerina’s Café,19.31,1.0
1297,1/18/2014,Kronos Mart,194.51,1.0
1327,1/18/2014,Ouzeri Elian,33.57,1.0
1305,1/18/2014,Roberts and Sons,62.47,1.0
1344,1/18/2014,Shoppers' Delight,258.33,1.0
