,location,date,revenue,freq
1462,Albert's Fine Clothing,1/19/2014,274.66,1.0
1464,Frydos Autosupply n' More,1/19/2014,209.76,1.0
1443,Kronos Mart,1/19/2014,194.51,1.0
1453,Desafio Golf Course,1/19/2014,190.91,1.0
1466,Hippokampos,1/19/2014,101.25,1.0
1477,Guy's Gyros,1/19/2014,100.36,1.0
1465,Katerina’s Café,1/19/2014,72.25,1.0
1459,General Grocer,1/19/2014,70.22,1.0
1475,Ouzeri Elian,1/19/2014,67.98,1.0
1458,Abila Zacharo,1/19/2014,47.8,1.0
1479,Shoppers' Delight,1/19/2014,30.39,1.0
1450,Ahaggo Museum,1/19/2014,26.91,1.0
1448,Gelatogalore,1/19/2014,22.36,1.0
