,location,date,revenue,freq
1091,Maximum Iron and Steel,1/15/2014,4788.22,1.0
1035,Stewart and Sons Fabrication,1/15/2014,4740.68,1.0
1047,Abila Airport,1/15/2014,4028.2799999999997,2.0
1031,Carlyle Chemical Inc.,1/15/2014,3608.08,1.0
1036,Nationwide Refinery,1/15/2014,3004.98,1.0
1088,Kronos Pipe and Irrigation,1/15/2014,2564.0,1.0
1120,Frydos Autosupply n' More,1/15/2014,276.88,1.0
1119,Albert's Fine Clothing,1/15/2014,228.15,1.0
1109,Shoppers' Delight,1/15/2014,162.0,1.0
1100,General Grocer,1/15/2014,126.2,1.0
1051,Hippokampos,1/15/2014,118.89,1.0
1097,Guy's Gyros,1/15/2014,98.04,1.0
1040,Bean There Done That,1/15/2014,93.13,1.0
1039,Brewed Awakenings,1/15/2014,91.62,1.0
1072,Abila Zacharo,1/15/2014,88.83,1.0
1053,Katerina’s Café,1/15/2014,88.56,1.0
1045,Jack's Magical Beans,1/15/2014,84.06,1.0
1015,Hallowed Grounds,1/15/2014,78.69,1.0
1026,Coffee Cameleon,1/15/2014,56.31,1.0
1024,Brew've Been Served,1/15/2014,49.7,1.0
1073,Kalami Kafenion,1/15/2014,47.86,1.0
1082,Gelatogalore,1/15/2014,42.36,1.0
1060,Ouzeri Elian,1/15/2014,36.47,1.0
