,timestamp,location,revenue,freq
1380,1/19/2014,Abila Zacharo,47.8,1.0
1376,1/19/2014,Ahaggo Museum,26.91,1.0
1374,1/19/2014,Albert's Fine Clothing,274.66,1.0
1391,1/19/2014,Desafio Golf Course,110.02,1.0
1387,1/19/2014,Frydos Autosupply n' More,209.76,1.0
1365,1/19/2014,Gelatogalore,22.36,1.0
1366,1/19/2014,General Grocer,70.22,1.0
1389,1/19/2014,Guy's Gyros,18.08,1.0
1385,1/19/2014,Hippokampos,45.32,1.0
1373,1/19/2014,Katerina’s Café,26.76,1.0
1363,1/19/2014,Ouzeri Elian,45.32,1.0
1375,1/19/2014,Shoppers' Delight,30.39,1.0
