,location,date,revenue,freq
48,Abila Airport,1/6/2014,7803.400000000001,4.0
34,Carlyle Chemical Inc.,1/6/2014,3959.66,1.0
32,Maximum Iron and Steel,1/6/2014,2859.51,1.0
33,Stewart and Sons Fabrication,1/6/2014,2144.62,1.0
31,Nationwide Refinery,1/6/2014,761.64,1.0
126,Frydos Autosupply n' More,1/6/2014,314.98,1.0
118,Shoppers' Delight,1/6/2014,293.67,1.0
108,Albert's Fine Clothing,1/6/2014,276.9,1.0
30,Kronos Pipe and Irrigation,1/6/2014,242.21,1.0
103,Guy's Gyros,1/6/2014,117.82,1.0
51,Abila Zacharo,1/6/2014,106.93,1.0
110,Hippokampos,1/6/2014,85.5,1.0
94,Katerina’s Café,1/6/2014,78.65,1.0
53,Kalami Kafenion,1/6/2014,70.1,1.0
93,U-Pump,1/6/2014,59.51,1.0
1,Hallowed Grounds,1/6/2014,52.22,1.0
35,Coffee Shack,1/6/2014,51.51,1.0
56,Ouzeri Elian,1/6/2014,38.9,1.0
79,Gelatogalore,1/6/2014,36.33,1.0
12,Brew've Been Served,1/6/2014,32.83,1.0
6,Coffee Cameleon,1/6/2014,28.73,1.0
46,Jack's Magical Beans,1/6/2014,27.84,1.0
40,Brewed Awakenings,1/6/2014,16.89,1.0
37,Bean There Done That,1/6/2014,16.09,1.0
