,location,date,revenue,freq
841,Abila Airport,1/13/2014,10262.58,3.0
842,Frydos Autosupply n' More,1/13/2014,10000.0,1.0
783,Kronos Pipe and Irrigation,1/13/2014,2892.74,1.0
798,Carlyle Chemical Inc.,1/13/2014,1718.96,1.0
785,Maximum Iron and Steel,1/13/2014,689.85,1.0
855,Albert's Fine Clothing,1/13/2014,288.0,1.0
843,Shoppers' Delight,1/13/2014,216.43,1.0
784,Nationwide Refinery,1/13/2014,204.58,1.0
773,Kronos Mart,1/13/2014,159.06,1.0
835,Gelatogalore,1/13/2014,117.17,1.0
840,Guy's Gyros,1/13/2014,116.87,1.0
825,Abila Zacharo,1/13/2014,116.32,1.0
873,Hippokampos,1/13/2014,99.63,1.0
788,Bean There Done That,1/13/2014,98.02,1.0
819,Ouzeri Elian,1/13/2014,95.03,1.0
861,Katerina’s Café,1/13/2014,93.57,1.0
770,Brew've Been Served,1/13/2014,78.23,1.0
791,Brewed Awakenings,1/13/2014,56.4,1.0
776,Hallowed Grounds,1/13/2014,55.96,1.0
806,U-Pump,1/13/2014,55.25,1.0
832,Kalami Kafenion,1/13/2014,20.33,1.0
758,Coffee Cameleon,1/13/2014,19.93,1.0
790,Jack's Magical Beans,1/13/2014,18.31,1.0
786,Coffee Shack,1/13/2014,4.09,1.0
754,Daily Dealz,1/13/2014,2.01,1.0
