,location,date,revenue,freq
413,Abila Airport,1/9/2014,11892.17,4.0
419,Stewart and Sons Fabrication,1/9/2014,3544.0,1.0
484,Carlyle Chemical Inc.,1/9/2014,2176.2,1.0
482,Maximum Iron and Steel,1/9/2014,1527.14,1.0
433,Nationwide Refinery,1/9/2014,1440.39,1.0
475,Abila Scrapyard,1/9/2014,1158.36,1.0
480,Kronos Pipe and Irrigation,1/9/2014,423.14,1.0
498,General Grocer,1/9/2014,285.34,1.0
512,Frydos Autosupply n' More,1/9/2014,276.75,1.0
516,Shoppers' Delight,1/9/2014,258.43,1.0
518,Albert's Fine Clothing,1/9/2014,229.98,1.0
446,Kalami Kafenion,1/9/2014,110.76,1.0
440,Guy's Gyros,1/9/2014,105.4,1.0
400,Brew've Been Served,1/9/2014,98.25,1.0
499,Katerina’s Café,1/9/2014,91.14,1.0
458,Abila Zacharo,1/9/2014,89.41,1.0
393,Hallowed Grounds,1/9/2014,75.24,1.0
497,Hippokampos,1/9/2014,70.68,1.0
442,Gelatogalore,1/9/2014,56.74,1.0
431,Jack's Magical Beans,1/9/2014,37.43,1.0
472,Ouzeri Elian,1/9/2014,32.89,1.0
390,Coffee Cameleon,1/9/2014,19.99,1.0
427,Brewed Awakenings,1/9/2014,17.66,1.0
428,Bean There Done That,1/9/2014,15.53,1.0
420,Coffee Shack,1/9/2014,5.01,1.0
