,timestamp,location,revenue,freq
880,1/14/2014,Abila Airport,10835.57,4.0
914,1/14/2014,Abila Scrapyard,4277.4,1.0
817,1/14/2014,Abila Zacharo,31.09,1.0
838,1/14/2014,Albert's Fine Clothing,228.72,1.0
839,1/14/2014,Bean There Done That,19.37,1.0
885,1/14/2014,Brew've Been Served,10.96,1.0
841,1/14/2014,Brewed Awakenings,17.14,1.0
893,1/14/2014,Carlyle Chemical Inc.,794.88,1.0
920,1/14/2014,Chostus Hotel,113.08,1.0
811,1/14/2014,Coffee Cameleon,11.67,1.0
814,1/14/2014,Coffee Shack,3.63,1.0
833,1/14/2014,Frydos Autosupply n' More,49.21,1.0
854,1/14/2014,Gelatogalore,10.98,1.0
925,1/14/2014,Guy's Gyros,26.14,1.0
865,1/14/2014,Hallowed Grounds,19.99,1.0
847,1/14/2014,Hippokampos,19.07,1.0
917,1/14/2014,Jack's Magical Beans,15.7,1.0
840,1/14/2014,Kalami Kafenion,17.38,1.0
832,1/14/2014,Katerina’s Café,28.05,1.0
881,1/14/2014,Nationwide Refinery,1301.01,1.0
843,1/14/2014,Ouzeri Elian,11.86,1.0
907,1/14/2014,Roberts and Sons,203.81,1.0
897,1/14/2014,Stewart and Sons Fabrication,278.52,1.0
