,location,date,revenue,freq
1372,Chostus Hotel,1/18/2014,600.0,1.0
1399,Frydos Autosupply n' More,1/18/2014,361.54,1.0
1410,Roberts and Sons,1/18/2014,266.69,1.0
1400,Shoppers' Delight,1/18/2014,258.33,1.0
1407,Albert's Fine Clothing,1/18/2014,226.49,1.0
1374,Abila Zacharo,1/18/2014,193.85,5.0
1398,General Grocer,1/18/2014,177.6,1.0
1395,Ahaggo Museum,1/18/2014,120.2,1.0
1378,Hippokampos,1/18/2014,100.11,1.0
1390,Katerina’s Café,1/18/2014,96.36,1.0
1387,Gelatogalore,1/18/2014,84.38,1.0
1423,Guy's Gyros,1/18/2014,78.36,1.0
1422,Kalami Kafenion,1/18/2014,71.14,1.0
1414,Ouzeri Elian,1/18/2014,61.56,1.0
1405,Frank's Fuel,1/18/2014,52.66,1.0
