,timestamp,location,revenue,freq
437,1/9/2014,Abila Airport,11872.17,4.0
464,1/9/2014,Abila Scrapyard,1158.36,1.0
478,1/9/2014,Abila Zacharo,8.6,1.0
408,1/9/2014,Albert's Fine Clothing,229.98,1.0
406,1/9/2014,Bean There Done That,4.06,1.0
435,1/9/2014,Brew've Been Served,12.12,1.0
409,1/9/2014,Brewed Awakenings,17.66,1.0
442,1/9/2014,Carlyle Chemical Inc.,529.47,1.0
452,1/9/2014,Coffee Cameleon,16.13,1.0
364,1/9/2014,Coffee Shack,5.01,1.0
398,1/9/2014,Frydos Autosupply n' More,276.75,1.0
473,1/9/2014,Gelatogalore,23.45,1.0
474,1/9/2014,General Grocer,285.34,1.0
418,1/9/2014,Guy's Gyros,35.05,1.0
459,1/9/2014,Hallowed Grounds,10.25,1.0
454,1/9/2014,Hippokampos,13.84,1.0
396,1/9/2014,Jack's Magical Beans,10.11,1.0
376,1/9/2014,Kalami Kafenion,35.99,1.0
407,1/9/2014,Katerina’s Café,8.01,1.0
393,1/9/2014,Kronos Mart,203.91,1.0
450,1/9/2014,Kronos Pipe and Irrigation,423.14,1.0
451,1/9/2014,Maximum Iron and Steel,1527.14,1.0
430,1/9/2014,Nationwide Refinery,1420.39,1.0
394,1/9/2014,Ouzeri Elian,26.09,1.0
386,1/9/2014,Shoppers' Delight,258.43,1.0
467,1/9/2014,Stewart and Sons Fabrication,918.6,1.0
