,timestamp,location,revenue,freq
1253,1/17/2014,Abila Zacharo,112.07,6.0
1226,1/17/2014,Albert's Fine Clothing,39.41,1.0
1241,1/17/2014,Bean There Done That,5.77,1.0
1233,1/17/2014,Brew've Been Served,15.46,1.0
1224,1/17/2014,Brewed Awakenings,6.0,1.0
1274,1/17/2014,Chostus Hotel,114.22,1.0
1179,1/17/2014,Coffee Cameleon,7.49,1.0
1177,1/17/2014,Coffee Shack,19.16,1.0
1198,1/17/2014,Frydos Autosupply n' More,67.29,1.0
1183,1/17/2014,Gelatogalore,18.1,1.0
1229,1/17/2014,General Grocer,78.03,1.0
1250,1/17/2014,Guy's Gyros,15.4,1.0
1199,1/17/2014,Hallowed Grounds,9.4,1.0
1182,1/17/2014,Hippokampos,38.21,1.0
1208,1/17/2014,Jack's Magical Beans,7.57,1.0
1282,1/17/2014,Kalami Kafenion,25.32,1.0
1257,1/17/2014,Katerina’s Café,21.22,1.0
1209,1/17/2014,Ouzeri Elian,38.6,1.0
1237,1/17/2014,Shoppers' Delight,155.01,1.0
1252,1/17/2014,Stewart and Sons Fabrication,1753.17,1.0
