,location,date,revenue,freq
920,Abila Airport,1/14/2014,8526.01,3.0
970,Nationwide Refinery,1/14/2014,4429.76,1.0
964,Abila Scrapyard,1/14/2014,4277.4,1.0
904,Carlyle Chemical Inc.,1/14/2014,3630.57,1.0
906,Stewart and Sons Fabrication,1/14/2014,600.19,1.0
994,Albert's Fine Clothing,1/14/2014,228.72,1.0
998,Roberts and Sons,1/14/2014,223.81,1.0
991,Frydos Autosupply n' More,1/14/2014,146.74,1.0
968,Octavio's Office Supplies,1/14/2014,131.73,1.0
927,Chostus Hotel,1/14/2014,113.08,1.0
943,Ouzeri Elian,1/14/2014,107.32,1.0
962,Gelatogalore,1/14/2014,102.03,1.0
947,Hippokampos,1/14/2014,98.81,1.0
919,Jack's Magical Beans,1/14/2014,95.7,1.0
972,Guy's Gyros,1/14/2014,94.26,1.0
975,Katerina’s Café,1/14/2014,91.8,1.0
916,Bean There Done That,1/14/2014,67.82,1.0
903,Kronos Mart,1/14/2014,58.85,1.0
893,Hallowed Grounds,1/14/2014,50.21,1.0
944,Kalami Kafenion,1/14/2014,33.13,1.0
937,Abila Zacharo,1/14/2014,31.09,1.0
912,Brewed Awakenings,1/14/2014,17.14,1.0
885,Brew've Been Served,1/14/2014,16.53,1.0
888,Coffee Cameleon,1/14/2014,15.63,1.0
909,Coffee Shack,1/14/2014,3.63,1.0
