,timestamp,location,revenue,freq
1009,1/15/2014,Abila Airport,4028.2799999999997,2.0
947,1/15/2014,Abila Zacharo,26.82,1.0
954,1/15/2014,Albert's Fine Clothing,228.15,1.0
962,1/15/2014,Bean There Done That,5.34,1.0
1003,1/15/2014,Brew've Been Served,11.23,1.0
965,1/15/2014,Brewed Awakenings,15.75,1.0
1015,1/15/2014,Carlyle Chemical Inc.,1112.04,1.0
1034,1/15/2014,Coffee Cameleon,14.47,1.0
934,1/15/2014,Coffee Shack,18.17,1.0
975,1/15/2014,Frydos Autosupply n' More,18.91,1.0
972,1/15/2014,Gelatogalore,31.21,1.0
1050,1/15/2014,General Grocer,83.11,1.0
945,1/15/2014,Guy's Gyros,16.58,1.0
996,1/15/2014,Hallowed Grounds,5.28,1.0
966,1/15/2014,Hippokampos,13.0,1.0
1039,1/15/2014,Jack's Magical Beans,4.06,1.0
990,1/15/2014,Kalami Kafenion,26.17,1.0
938,1/15/2014,Katerina’s Café,28.56,1.0
988,1/15/2014,Kronos Mart,258.83,1.0
1020,1/15/2014,Kronos Pipe and Irrigation,2564.0,1.0
1021,1/15/2014,Maximum Iron and Steel,4788.22,1.0
1018,1/15/2014,Nationwide Refinery,3004.98,1.0
940,1/15/2014,Ouzeri Elian,25.7,1.0
983,1/15/2014,Shoppers' Delight,102.0,1.0
1013,1/15/2014,Stewart and Sons Fabrication,4485.38,1.0
