,timestamp,location,revenue,freq
75,1/6/2014,Abila Airport,5929.61,3.0
8,1/6/2014,Abila Zacharo,26.93,1.0
26,1/6/2014,Albert's Fine Clothing,276.9,1.0
28,1/6/2014,Bean There Done That,10.28,1.0
41,1/6/2014,Brew've Been Served,18.24,1.0
43,1/6/2014,Brewed Awakenings,16.89,1.0
73,1/6/2014,Carlyle Chemical Inc.,3959.66,1.0
38,1/6/2014,Coffee Cameleon,8.73,1.0
3,1/6/2014,Coffee Shack,11.51,1.0
24,1/6/2014,Frydos Autosupply n' More,89.3,1.0
60,1/6/2014,Gelatogalore,23.41,1.0
93,1/6/2014,Guy's Gyros,11.22,1.0
56,1/6/2014,Hallowed Grounds,10.07,1.0
9,1/6/2014,Hippokampos,34.03,1.0
109,1/6/2014,Jack's Magical Beans,7.84,1.0
82,1/6/2014,Kalami Kafenion,30.1,1.0
104,1/6/2014,Katerina’s Café,15.52,1.0
76,1/6/2014,Kronos Pipe and Irrigation,242.21,1.0
77,1/6/2014,Maximum Iron and Steel,2859.51,1.0
88,1/6/2014,Nationwide Refinery,761.64,1.0
69,1/6/2014,Ouzeri Elian,20.4,1.0
116,1/6/2014,Shoppers' Delight,293.67,1.0
89,1/6/2014,Stewart and Sons Fabrication,2144.62,1.0
83,1/6/2014,U-Pump,59.51,1.0
